"ITIS_TSN","ScientificName_ITIS","WoRMS_AphiaID","ScientificName_WoRMS"
172803,"Arnoglossus",126109,"Arnoglossus"
172805,"Arnoglossus laterna",127126,"Arnoglossus laterna"
172806,"Arnoglossus imperialis",127124,"Arnoglossus imperialis"
167209,"Artediellus europaeus",127193,"Artediellus atlanticus"
167208,"Artediellus atlanticus",127193,"Artediellus atlanticus"
167210,"Artediellus atlanticus europaeus ",127193,"Artediellus atlanticus"
167050,"Aspitrigla obscura",127263,"Chelidonichthys obscurus"
167049,"Aspitrigla cuculus",127259,"Chelidonichthys cuculus"
166025,"Atherina presbyter",272030,"Atherina presbyter"
82337,"Austrorossia",341410,"Austrorossia"
161619,"Avocettina infans",126304,"Avocettina infans"
173137,"Balistes",126228,"Balistes"
173142,"Balistes carolinensis",154721,"Balistes capriscus"
173138,"Balistes capriscus",154721,"Balistes capriscus"
173028,"Bathysolea profundicola",127152,"Bathysolea profundicola"
165594,"Belone belon",126375,"Belone belone"
166156,"Beryx splendens",126395,"Beryx splendens"
166155,"Beryx decadactylus",126394,"Beryx decadactylus"
171124,"Blenniidae",125519,"Blenniidae"
171132,"Blennius gattorugine",126770,"Parablennius gattorugine"
171125,"Blennius",125915,"Blennius"
171126,"Blennius ocellaris",126761,"Blennius ocellaris"
163661,"Blicca bjoerkna",154274,"Blicca bjoerkna"
169218,"Boops boops",127047,"Boops boops"
172714,"Bothidae",125576,"Bothidae"
170290,"Brama brama",126783,"Brama brama"
164740,"Brosme brosme",126447,"Brosme brosme"
172041,"Buenia jeffreysi",126872,"Buenia jeffreysii"
636752,"Buenia jeffreysii",126872,"Buenia jeffreysii"
173020,"Buglossidium",126127,"Buglossidium"
